"文件编号","清单文件名称","选用来源","文件名","原路径","扩展名","被Gold替代的源文件数","原路径长度","目标路径","执行结果"
"S0023-9133","CGM-MS5持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9133 Transmitter Software Architecture and Detailed Design of the CGM-MS5 Continuous Glucose Monitoring System.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9133 Transmitter Software Architecture and Detailed Design of the CGM-MS5 Continuous Glucose Monitoring System.pdf",".pdf","0","337","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9133 Transmitter Software Architecture and Detailed Design of the CGM-MS5 Continuous Glucose Monitoring System.pdf","预览"
"S0023-9138A","MS1安装发射器上盖过程确认方案","Gold Standard","S0023-9138A Process Validation Protocol for Installation of CGM-MS1 Transmitter Cover.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9138A Process Validation Protocol for Installation of CGM-MS1 Transmitter Cover.DOC",".DOC","0","256","C:\Users\hejc\Desktop\DHF\S0023-9138A Process Validation Protocol for Installation of CGM-MS1 Transmitter Cover.DOC","预览"
"S0023-9138A","MS1安装发射器上盖过程确认方案","Gold Standard","S0023-9138A Process Validation Protocol for Installation of CGM-MS1 Transmitter Cover.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9138A Process Validation Protocol for Installation of CGM-MS1 Transmitter Cover.pdf",".pdf","0","256","C:\Users\hejc\Desktop\DHF\S0023-9138A Process Validation Protocol for Installation of CGM-MS1 Transmitter Cover.pdf","预览"
"S0023-9138B","MS1安装发射器上盖过程确认报告","Gold Standard","S0023-9138B Process Validation Report for Installation of CGM-MS1 Transmitter Cover.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9138B Process Validation Report for Installation of CGM-MS1 Transmitter Cover.DOC",".DOC","0","254","C:\Users\hejc\Desktop\DHF\S0023-9138B Process Validation Report for Installation of CGM-MS1 Transmitter Cover.DOC","预览"
"S0023-9138B","MS1安装发射器上盖过程确认报告","Gold Standard","S0023-9138B Process Validation Report for Installation of CGM-MS1 Transmitter Cover.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9138B Process Validation Report for Installation of CGM-MS1 Transmitter Cover.pdf",".pdf","0","254","C:\Users\hejc\Desktop\DHF\S0023-9138B Process Validation Report for Installation of CGM-MS1 Transmitter Cover.pdf","预览"
"S0023-9147A","CGM-MS1内包工序过程确认方案","Gold Standard","S0023-9147A CGM-MS1 Sensor Component Packaging Process Confirmation plan.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9147A CGM-MS1 Sensor Component Packaging Process Confirmation plan.docx",".docx","0","202","C:\Users\hejc\Desktop\DHF\S0023-9147A CGM-MS1 Sensor Component Packaging Process Confirmation plan.docx","预览"
"S0023-9147A","CGM-MS1内包工序过程确认方案","Gold Standard","S0023-9147A CGM-MS1 Sensor Component Packaging Process Confirmation plan.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9147A CGM-MS1 Sensor Component Packaging Process Confirmation plan.pdf",".pdf","0","201","C:\Users\hejc\Desktop\DHF\S0023-9147A CGM-MS1 Sensor Component Packaging Process Confirmation plan.pdf","预览"
"S0023-9147B","CGM-MS1内包工序过程确认报告","Gold Standard","S0023-9147B CGM-MS1 Sensor Component Packaging Process Confirmation report.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9147B CGM-MS1 Sensor Component Packaging Process Confirmation report.docx",".docx","0","204","C:\Users\hejc\Desktop\DHF\S0023-9147B CGM-MS1 Sensor Component Packaging Process Confirmation report.docx","预览"
"S0023-9147B","CGM-MS1内包工序过程确认报告","Gold Standard","S0023-9147B CGM-MS1 Sensor Component Packaging Process Confirmation report.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9147B CGM-MS1 Sensor Component Packaging Process Confirmation report.pdf",".pdf","0","203","C:\Users\hejc\Desktop\DHF\S0023-9147B CGM-MS1 Sensor Component Packaging Process Confirmation report.pdf","预览"
"S0023-9148A","CGM-MS3安装保护罩过程确认方案","Gold Standard","S0023-9148A CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Plan.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9148A CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Plan.docx",".docx","0","222","C:\Users\hejc\Desktop\DHF\S0023-9148A CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Plan.docx","预览"
"S0023-9148A","CGM-MS3安装保护罩过程确认方案","Gold Standard","S0023-9148A CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Plan.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9148A CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Plan.pdf",".pdf","0","221","C:\Users\hejc\Desktop\DHF\S0023-9148A CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Plan.pdf","预览"
"S0023-9148B","CGM-MS3安装保护罩过程确认报告","Gold Standard","S0023-9148B CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Report.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9148B CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Report.docx",".docx","0","224","C:\Users\hejc\Desktop\DHF\S0023-9148B CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Report.docx","预览"
"S0023-9148B","CGM-MS3安装保护罩过程确认报告","Gold Standard","S0023-9148B CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Report.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9148B CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Report.pdf",".pdf","0","223","C:\Users\hejc\Desktop\DHF\S0023-9148B CGM-MS3 Installation Protection Cover Module Process Air Tightness Research Report.pdf","预览"
"S0023-9149A","CGM-MS5安装无菌模块过程确认方案","Gold Standard","S0023-9149A CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Plan.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9149A CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Plan.docx",".docx","0","220","C:\Users\hejc\Desktop\DHF\S0023-9149A CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Plan.docx","预览"
"S0023-9149A","CGM-MS5安装无菌模块过程确认方案","Gold Standard","S0023-9149A CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Plan.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9149A CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Plan.pdf",".pdf","0","219","C:\Users\hejc\Desktop\DHF\S0023-9149A CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Plan.pdf","预览"
"S0023-9149B","CGM-MS5安装无菌模块过程确认报告","Gold Standard","S0023-9149B CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Report.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9149B CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Report.docx",".docx","0","222","C:\Users\hejc\Desktop\DHF\S0023-9149B CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Report.docx","预览"
"S0023-9149B","CGM-MS5安装无菌模块过程确认报告","Gold Standard","S0023-9149B CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Report.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 10 Packaging\10.2 Package validation\S0023-9149B CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Report.pdf",".pdf","0","221","C:\Users\hejc\Desktop\DHF\S0023-9149B CGM-MS5&6 Installation of Sterile Module Procedure Air Tightness Research Report.pdf","预览"
"S0023-9151A","CGM-MS1持续葡萄糖监测系统加速老化测试方案","Gold Standard","S0023-9151A CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9151A CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx",".docx","0","191","C:\Users\hejc\Desktop\DHF\S0023-9151A CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx","预览"
"S0023-9151A","CGM-MS1持续葡萄糖监测系统加速老化测试方案","Gold Standard","S0023-9151A CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9151A CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf",".pdf","0","190","C:\Users\hejc\Desktop\DHF\S0023-9151A CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf","预览"
"S0023-9151B","CGM-MS1持续葡萄糖监测系统加速老化测试报告","Gold Standard","S0023-9151B CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9151B CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx",".docx","0","193","C:\Users\hejc\Desktop\DHF\S0023-9151B CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx","预览"
"S0023-9151B","CGM-MS1持续葡萄糖监测系统加速老化测试报告","Gold Standard","S0023-9151B CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9151B CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf",".pdf","0","192","C:\Users\hejc\Desktop\DHF\S0023-9151B CGM-MS1 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf","预览"
"S0023-9152A","CGM-MS3持续葡萄糖监测系统加速老化测试方案","Gold Standard","S0023-9152A CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9152A CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx",".docx","0","191","C:\Users\hejc\Desktop\DHF\S0023-9152A CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx","预览"
"S0023-9152A","CGM-MS3持续葡萄糖监测系统加速老化测试方案","Gold Standard","S0023-9152A CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9152A CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf",".pdf","0","190","C:\Users\hejc\Desktop\DHF\S0023-9152A CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf","预览"
"S0023-9152B","CGM-MS3持续葡萄糖监测系统加速老化测试报告","Gold Standard","S0023-9152B CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9152B CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx",".docx","0","193","C:\Users\hejc\Desktop\DHF\S0023-9152B CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx","预览"
"S0023-9152B","CGM-MS3持续葡萄糖监测系统加速老化测试报告","Gold Standard","S0023-9152B CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9152B CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf",".pdf","0","192","C:\Users\hejc\Desktop\DHF\S0023-9152B CGM-MS3 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf","预览"
"S0023-9153A","CGM-MS5持续葡萄糖监测系统加速老化测试方案","Gold Standard","S0023-9153A CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9153A CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx",".docx","0","191","C:\Users\hejc\Desktop\DHF\S0023-9153A CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Plan.docx","预览"
"S0023-9153A","CGM-MS5持续葡萄糖监测系统加速老化测试方案","Gold Standard","S0023-9153A CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9153A CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf",".pdf","0","190","C:\Users\hejc\Desktop\DHF\S0023-9153A CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Plan.pdf","预览"
"S0023-9153B","CGM-MS5持续葡萄糖监测系统加速老化测试报告","Gold Standard","S0023-9153B CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9153B CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx",".docx","0","193","C:\Users\hejc\Desktop\DHF\S0023-9153B CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Report.docx","预览"
"S0023-9153B","CGM-MS5持续葡萄糖监测系统加速老化测试报告","Gold Standard","S0023-9153B CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 11 Shelf life\S0023-9153B CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf",".pdf","0","192","C:\Users\hejc\Desktop\DHF\S0023-9153B CGM-MS5 Continuous Glucose Monitoring System Accelerated Aging Test Report.pdf","预览"
"S0023-9160A","MS5、MS6发射器点胶过程确认方案","Gold Standard","S0023-9160A CGM-MS5MS6 Transmitter Dispensing Process Validation Protocol .doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9160A CGM-MS5MS6 Transmitter Dispensing Process Validation Protocol .doc",".doc","0","245","C:\Users\hejc\Desktop\DHF\S0023-9160A CGM-MS5MS6 Transmitter Dispensing Process Validation Protocol .doc","预览"
"S0023-9160A","MS5、MS6发射器点胶过程确认方案","Gold Standard","S0023-9160A CGM-MS5MS6 Transmitter Dispensing Process Validation Protocol .pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9160A CGM-MS5MS6 Transmitter Dispensing Process Validation Protocol .pdf",".pdf","0","245","C:\Users\hejc\Desktop\DHF\S0023-9160A CGM-MS5MS6 Transmitter Dispensing Process Validation Protocol .pdf","预览"
"S0023-9160B","MS5、MS6发射器点胶过程确认报告","Gold Standard","S0023-9160B CGM-MS5MS6 Transmitter Dispensing Process Validation Report .doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9160B CGM-MS5MS6 Transmitter Dispensing Process Validation Report .doc",".doc","0","243","C:\Users\hejc\Desktop\DHF\S0023-9160B CGM-MS5MS6 Transmitter Dispensing Process Validation Report .doc","预览"
"S0023-9160B","MS5、MS6发射器点胶过程确认报告","Gold Standard","S0023-9160B CGM-MS5MS6 Transmitter Dispensing Process Validation Report .pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9160B CGM-MS5MS6 Transmitter Dispensing Process Validation Report .pdf",".pdf","0","243","C:\Users\hejc\Desktop\DHF\S0023-9160B CGM-MS5MS6 Transmitter Dispensing Process Validation Report .pdf","预览"
"S0023-9161B","MS1传感器组件内包工序过程再确认报告","Gold Standard","S0023-9161B Process Revalidation Report for Primary Packaging of CGM-MS1.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9161B Process Revalidation Report for Primary Packaging of CGM-MS1.docx",".docx","0","244","C:\Users\hejc\Desktop\DHF\S0023-9161B Process Revalidation Report for Primary Packaging of CGM-MS1.docx","预览"
"S0023-9161B","MS1传感器组件内包工序过程再确认报告","Gold Standard","S0023-9161B Process Revalidation Report for Primary Packaging of CGM-MS1.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9161B Process Revalidation Report for Primary Packaging of CGM-MS1.pdf",".pdf","0","243","C:\Users\hejc\Desktop\DHF\S0023-9161B Process Revalidation Report for Primary Packaging of CGM-MS1.pdf","预览"
"S0023-9162B","CGM-MS1传感器底座与亲肤胶贴超声焊接过程确认报告","Gold Standard","S0023-9162B Process Validation Report for Ultrasonic Welding of CGM-MS1.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9162B Process Validation Report for Ultrasonic Welding of CGM-MS1.docx",".docx","0","243","C:\Users\hejc\Desktop\DHF\S0023-9162B Process Validation Report for Ultrasonic Welding of CGM-MS1.docx","预览"
"S0023-9162B","CGM-MS1传感器底座与亲肤胶贴超声焊接过程确认报告","Gold Standard","S0023-9162B Process Validation Report for Ultrasonic Welding of CGM-MS1.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9162B Process Validation Report for Ultrasonic Welding of CGM-MS1.pdf",".pdf","0","242","C:\Users\hejc\Desktop\DHF\S0023-9162B Process Validation Report for Ultrasonic Welding of CGM-MS1.pdf","预览"
"S0023-9163A","CGM-MS3发射器底壳与亲肤胶贴超声焊接过程确认方案","Gold Standard","S0023-9163A Process Validation Protocol for Ultrasonic Welding of CGMMS3.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9163A Process Validation Protocol for Ultrasonic Welding of CGMMS3.docx",".docx","0","244","C:\Users\hejc\Desktop\DHF\S0023-9163A Process Validation Protocol for Ultrasonic Welding of CGMMS3.docx","预览"
"S0023-9163A","CGM-MS3发射器底壳与亲肤胶贴超声焊接过程确认方案","Gold Standard","S0023-9163A Process Validation Protocol for Ultrasonic Welding of CGMMS3.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9163A Process Validation Protocol for Ultrasonic Welding of CGMMS3.pdf",".pdf","0","243","C:\Users\hejc\Desktop\DHF\S0023-9163A Process Validation Protocol for Ultrasonic Welding of CGMMS3.pdf","预览"
"S0023-9163B","CGM-MS3发射器底壳与亲肤胶贴超声焊接过程确认报告","Gold Standard","S0023-9163B Process Validation Report for Ultrasonic Welding of CGM-MS3.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9163B Process Validation Report for Ultrasonic Welding of CGM-MS3.docx",".docx","0","243","C:\Users\hejc\Desktop\DHF\S0023-9163B Process Validation Report for Ultrasonic Welding of CGM-MS3.docx","预览"
"S0023-9163B","CGM-MS3发射器底壳与亲肤胶贴超声焊接过程确认报告","Gold Standard","S0023-9163B Process Validation Report for Ultrasonic Welding of CGM-MS3.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9163B Process Validation Report for Ultrasonic Welding of CGM-MS3.pdf",".pdf","0","242","C:\Users\hejc\Desktop\DHF\S0023-9163B Process Validation Report for Ultrasonic Welding of CGM-MS3.pdf","预览"
"S0023-9164","CGM-MS1&3&5&6 持续葡萄糖监测系统2025年过程确认主计划","Gold Standard","S0023-9164 CGM-MS1&3&5&6 Continuous Glucose Monitoring System Process Validation Maste.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.4 Master validation-先不交\S0023-9164 CGM-MS1&3&5&6 Continuous Glucose Monitoring System Process Validation Maste.docx",".docx","0","244","C:\Users\hejc\Desktop\DHF\S0023-9164 CGM-MS1&3&5&6 Continuous Glucose Monitoring System Process Validation Maste.docx","预览"
"S0023-9164","CGM-MS1&3&5&6 持续葡萄糖监测系统2025年过程确认主计划","Gold Standard","S0023-9164 CGM-MS1&3&5&6 Continuous Glucose Monitoring System Process Validation Maste_Zou, PeiWen_2026_05_08.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.4 Master validation-先不交\S0023-9164 CGM-MS1&3&5&6 Continuous Glucose Monitoring System Process Validation Maste_Zou, PeiWen_2026_05_08.docx",".docx","0","267","C:\Users\hejc\Desktop\DHF\S0023-9164 CGM-MS1&3&5&6 Continuous Glucose Monitoring System Process Validation Maste_Zou, PeiWen_2026_05_08.docx","预览"
